start	den_afr	alt_afr	vin_afr	chag_afr	den_alt	den_vin	den_chag	alt_vin	nea_afr	den_nea	z_den	z_nea	cddr
4950000	0.0011845	0.0011125	0.0011425	0.0011425	0.00033	0.00036	0.00036	0.00011	0.0011325	0.00035	-0.19576	-0.338416	False
5000000	0.0011035	0.0010935	0.0010935	0.0010635	0.00043	0.00043	0.0004	0.0001	0.0010835	0.00042	-0.496358	-0.510552	False
5050000	0.0014585	0.0013895	0.0014595	0.0014095	0.00027	0.00034	0.00029	0.00015	0.0014195	0.0003	0.821079	0.669807	False
5100000	0.001325	0.001319	0.001289	0.001279	0.00052	0.00049	0.00048	0.00015	0.00129567	0.000496667	0.325648	0.234784	False
5150000	0.001158	0.00097	0.0009	0.00089	0.00054	0.00047	0.00046	0.00014	0.00092	0.00049	-0.294104	-1.08492	False
5200000	0.001268	0.00132	0.00128	0.00128	0.0002	0.00016	0.00016	8e-05	0.00129333	0.000173333	0.114116	0.226587	False
5250000	0.001003	0.001037	0.001067	0.001057	0.0006	0.00063	0.00062	-1e-05	0.00105367	0.000616667	-0.869323	-0.615356	False
5300000	0.0011895	0.0012335	0.0012635	0.0012435	0.00083	0.00086	0.00084	0.00018	0.00124683	0.000843333	-0.177205	0.0632335	False
5350000	0.001148	0.001206	0.001206	0.001256	0.00039	0.00039	0.00044	5e-05	0.00122267	0.000406667	-0.331215	-0.0216633	False
5400000	0.0011335	0.0011635	0.0011635	0.0011635	0.00015	0.00017	0.00017	0.0001	0.0011635	0.000163333	-0.385026	-0.229514	False
5450000	0.0014005	0.0014945	0.0014845	0.0014725	0.00068	0.00067	0.00067	0.00011	0.00148383	0.000673333	0.605836	0.895808	False
5500000	0.0014505	0.0014205	0.0015005	0.0014505	0.00047	0.00055	0.0005	0.0001	0.00145717	0.000506667	0.79139	0.802129	False
5550000	0.0009485	0.0010185	0.0010985	0.0010485	0.00046	0.00054	0.00049	0.00016	0.00105517	0.000496667	-1.07158	-0.610086	False
5600000	0.000897	0.000967	0.001017	0.001027	0.00031	0.00036	0.00037	7e-05	0.00100367	0.000346667	-1.2627	-0.791004	False
5650000	0.0012835	0.0013375	0.0013875	0.0013575	0.00089	0.00094	0.00091	0.00013	0.00136083	0.000913333	0.171638	0.463712	False
5700000	0.001227	0.001618	0.001668	0.001668	0.00149	0.00154	0.00154	0.0001	0.00165133	0.00152333	-0.0380387	1.48423	False
5750000	0.001125	0.000935	0.000945	0.000935	0.00104	0.00105	0.00104	9e-05	0.000938333	0.00104333	-0.41657	-1.02052	False
5800000	0.0014655	0.0011015	0.0015175	0.0014875	0.00091	0.00048	0.00045	0.00051	0.00136883	0.000613333	0.847056	0.491816	False
5850000	0.0010455	0.0013595	0.0013695	0.0013795	0.00081	0.00082	0.00083	0.00021	0.0013695	0.00082	-0.711602	0.494158	False
5900000	0.001451	0.001431	0.001401	0.001391	0.0003	0.00027	0.00026	5e-05	0.00140767	0.000276667	0.793246	0.628237	False
5950000	0.0012315	0.0012015	0.0012715	0.0012415	0.00017	0.00024	0.00021	5e-05	0.00123817	0.000206667	-0.0213388	0.0327877	False
6000000	0.002674	0.0018	0.00179	0.00179	0.00251	0.0025	0.0025	0.00015	0.00179333	0.00250333	5.33191	1.98307	True
6050000	0.001964	0.001346	0.001366	0.001376	0.00106	0.00108	0.00109	6e-05	0.00136267	0.00107667	2.69704	0.470153	False
6100000	0.0011135	0.0013535	0.0013435	0.0013435	0.00082	0.00081	0.00081	9e-05	0.00134683	0.000813333	-0.459247	0.414531	False
6150000	0.0012495	0.0012995	0.0012795	0.0012695	0.00043	0.00041	0.0004	8e-05	0.00128283	0.000413333	0.0454609	0.189701	False
6200000	0.001595	0.001545	0.001575	0.001565	0.00029	0.00032	0.00031	-1e-05	0.00156167	0.000306667	1.32764	1.16923	False
6250000	0.0021605	0.0015615	0.0015415	0.0015915	0.00131	0.00129	0.00134	8e-05	0.00156483	0.00131333	3.42626	1.18036	True
6300000	0.002198	0.001013	0.000983	0.000983	0.00231	0.00228	0.00228	-5e-05	0.000993	0.00229	3.56543	-0.828476	True
6350000	0.0012905	0.0009915	0.0010315	0.0010215	0.00077	0.00081	0.0008	0.00018	0.00101483	0.000793333	0.197616	-0.751776	False
6400000	0.001026	0.001324	0.001384	0.001394	0.00079	0.00085	0.00086	0.0002	0.00136733	0.000833333	-0.783968	0.486547	False
6450000	0.001221	0.000983	0.001023	0.000993	0.00066	0.0007	0.00067	0.00012	0.000999667	0.000676667	-0.0603052	-0.805056	False
6500000	0.00137	0.001189	0.001219	0.001219	0.00078	0.00081	0.00081	7e-05	0.001209	0.0008	0.492647	-0.069674	False
6550000	0.001569	0.001635	0.001705	0.001765	0.00068	0.00075	0.00081	0.00015	0.00170167	0.000746667	1.23115	1.66105	False
6600000	0.001096	0.000937	0.000977	0.0010105	0.0008	0.00084	0.00065	0	0.000974833	0.000763333	-0.524192	-0.892295	False
6650000	0.001402	0.00142	0.00143	0.00144	0.00093	0.00094	0.00095	0.00011	0.00143	0.00094	0.611402	0.706693	False
6700000	0.0010065	0.001033	0.001093	0.001093	0.00052	0.00058	0.00058	0.00022	0.001073	0.00056	-0.856334	-0.547438	False
6750000	0.0013785	0.0012985	0.0013785	0.0013485	0.00044	0.00052	0.00049	0.00012	0.00134183	0.000483333	0.524192	0.396966	False
6800000	0.001165	0.001169	0.001131	0.001151	0.00041	0.00035	0.00037	6e-05	0.00115033	0.000376667	-0.268126	-0.275768	False
6850000	0.001018	0.001	0.000976	0.000986	0.00059	0.00057	0.00058	0.0005	0.000987333	0.00058	-0.813657	-0.848383	False
6900000	0.000901	0.000911	0.000971	0.001001	0.00035	0.00041	0.00044	6e-05	0.000961	0.0004	-1.24785	-0.940891	False
6950000	0.0017355	0.001752	0.001812	0.001792	0.00049	0.00055	0.00053	0.00024	0.00178533	0.000523333	1.84905	1.95497	False
7000000	0.0013945	0.0012955	0.0013055	0.0013255	0.00085	0.00086	0.00088	0.00017	0.00130883	0.000863333	0.583569	0.281038	False
7050000	0.0010575	0.0009175	0.0009575	0.0009075	0.00046	0.0005	0.00047	0.00012	0.0009275	0.000476667	-0.667069	-1.05858	False
7100000	0.0010355	0.0010055	0.0009955	0.0009355	0.00087	0.00084	0.00072	0.00031	0.000978833	0.00081	-0.748713	-0.878243	False
7150000	0.0011	0.001041	0.001091	0.001081	0.00059	0.00064	0.00063	0.00019	0.001071	0.00062	-0.509347	-0.554464	False
7200000	0.001606	0.001565	0.001585	0.0016645	0.00051	0.00054	0.00061	0.00033	0.00160483	0.000553333	1.36846	1.32088	False
7250000	0.001509	0.001342	0.0013885	0.0013685	0.00071	0.00087	0.00093	0.00029	0.00136633	0.000836667	1.00849	0.483034	False
7300000	0.001271	0.001241	0.001371	0.001311	0.00031	0.00046	0.00038	0.00024	0.00130767	0.000383333	0.125249	0.276939	False
7350000	0.0014055	0.0011795	0.0012425	0.0012195	0.0014	0.00138	0.00144	0.0004	0.00121383	0.00140667	0.624391	-0.0526946	False
7400000	0.0012725	0.0011545	0.001164	0.0011585	0.00036	0.00055	0.0006	0.00033	0.001159	0.000503333	0.130816	-0.245323	False
7450000	0.001591	0.00163	0.001649	0.001569	0.00049	0.0007	0.00058	0.00034	0.001616	0.00059	1.3128	1.36011	False
7500000	0.001533	0.001115	0.001201	0.001215	0.00068	0.00098	0.00078	0.00036	0.001177	0.000813333	1.09756	-0.182089	False
7550000	0.001054	0.001024	0.000993	0.000963	0.00045	0.00042	0.00039	0.00019	0.000993333	0.00042	-0.680057	-0.827305	False
7600000	0.0012275	0.0009115	0.0008815	0.0008815	0.00081	0.00078	0.00078	0.00015	0.0008915	0.00079	-0.0361831	-1.18504	False
7650000	0.001551	0.00093	0.00094	0.00091	0.00137	0.00138	0.00135	0.0002	0.000926667	0.00136667	1.16435	-1.0615	False
7700000	0.001097	0.000769	0.000758	0.000739	0.0008	0.00088	0.0009	0.00036	0.000755333	0.00086	-0.52048	-1.66339	False
